"№
п/п";"Код
номенклатуры";Ноенклатура;"Кол-во
на складах";"Макс.
закупка";Опт Карта Рубин;Опт Карта Рубин +;Розничная цена;Оптовая цена;gold;platinum
876;00083263;Тройник 3х2П 16А 250В белый TDM;138;66,16;110;106;110;95;104,5;99
877;00083264;Тройник 3х2П 16А 250B черный TDM;74;66,59;110;107;110;95;104,5;99
878;00079985;"Тройник ""Куб"" 2 гнезда 2USB 2,4А+Type C + Ночник";11;842,27;1 338,00;1 338,00;1 338,00;1 249,00;1 271,10;1 204,20
879;00079029;Трехпоз. перекл. 2P 63А EKF PROxima;31;1079,21;1 811,00;1 724,00;1 811,00;1 401,00;1 720,45;1 629,90
880;00082026;Торговый светодиодный светильник РИТЕЙЛ ВСЕСВЕТОДИОДЫ 58Вт, 5000-5500K, рассеиватель ОПАЛ, Световой;0; ; ; ; ;4 461,00; ; 
881;00082027;Торговый светодиодный  светильник РИТЕЙЛ ВСЕСВЕТОДИОДЫ 76Вт, 5000-5500K, рассеиватель ОПАЛ, Световой;0; ; ; ; ;7 729,00; ; 
882;00079330;Терминал питания трека LEEK черный (100);14;36,85;55;53;55;47;52,25;49,5
883;00079329;Терминал питания трека LEEK белый (100);0; ;55;53;55;47;52,25;49,5
884;00079336;Счетчик CE102М S7 145 JV 1ф 5-60А1 класс точн. многотариф. оптопорт ЖКИ  101002003010510 RS;0; ;2 800,00; ;2 800,00;2 520,00;2 660,00;2 520,00
885;00079335;Счетчик 3ф 5-60А Din 1Т 231АМ-01 механ кл.т. 1,0;21;3950,18;5 599,00;5 499,00;5 599,00;5 399,00;5 319,05;5 039,10
886;00080426;Выключатель 3-кл. СП BRITE ВС10-3-0-БрБ 10А бел. ІЕК BR-V30-0-10-K01;22;219,39;349;322;349;277;331,55;314,1
887;00080549;Выключатель 3-кл. СП BRITE ВС 10-3-0-БрЧ 10А черн. ІЕK BR-V30-0-10-K02;9;267,85;453;417;453;360;430,35;407,7
888;00080291;Выключатель 3-кл. СП AtlasDesign 10А IP20 (сх. 1+1+1) 10AX механизм карбон SE ATN001031;12;511,73;773;749;773;649;734,35;695,7
889;00080275;Выключатель 3-кл. СП AtlasDesign 10А IP20 (сх. 1+1+1) 10AX механизм бел. SE ATN000131;10;208,32;332;320;332;277;315,4;298,8
890;00081619;Выключатель 2кл с/у сталь механизм AtlasDesign Systeme Electric (1/5/20);0; ;693;671;693;582;658,35;623,7
891;00080443;Выключатель 2кл с/у крем механизм INSPIRIA Legrand (1/20/100);60;124,16;198;191;198;166;188,1;178,2
892;00080429;Выключатель 2кл с/у белый механизм INSPIRIA Legrand (1/20/100);6;124,16;198;191;198;166;188,1;178,2
893;00080413;Выключатель 2кл с/у антрацит механизм INSPIRIA Legrand (1/20/100);9;187,79;300;289;300;250;285;270
894;00080399;Выключатель 2кл с/у алюминий механизм INSPIRIA Legrand (1/20/100);70;187,79;300;289;300;250;285;270
895;00080384;Выключатель 2-кл. СП Etika 10А IP20 250В 10AX безвинт. зажимы механизм сл. кость Leg 672302 RS;13;210,85;291; ;291;249;276,45;261,9
896;00080375;Выключатель 2-кл. СП Etika 10А IP20 250В 10AX безвинт. зажимы механизм бел. Leg 672202 RS;3;208,5;291; ;291;249;276,45;261,9
897;00080425;Выключатель 2-кл. СП BRITE ВС10-2-1-БрБ 10А с инд. бел. ІЕК BR-V20-1-10-K01;2;242,28;397;366;397;315;377,15;357,3
898;00080575;Выключатель 2-кл. СП BRITE ВС10-2-0-БрШ 10А шампань ІЕК BR-V20-0-10-K37;57;127,78;233;215;233;185;221,35;209,7
899;00080547;Выключатель 2-кл. СП BRITE ВС10-2-0-БрЧ 10А черн. ІEK BR-V20-0-10-K02;207;149,29;217;215;217;182;206,15;195,3
900;00080342;Выключатель 2-кл. СП BRITE ВС10-2-0-БрКр 10А беж. IEK BR-V20-0-10-K10;27;104,24;177;171;177;139;168,15;159,3
901;00080423;Выключатель 2-кл. СП BRITE ВС10-2-0-БРБ 10А бел, ІЕК BR-V20-0-10-K01;27;107,55;181;167;181;144;171,95;162,9
902;00080326;Выключатель 2-кл. СП BRITE ВС10-2-0-БрА 10А алюм. ІEK BR-V20-0-10-K47;87;137,68;233;215;233;185;221,35;209,7
903;00080545;Выключатель 2-кл. СП BRITE ВС 10-2-1-БрЧ 10А с инд. черн. ІЕК BR-V20-1-10-K02;1;305,01;516;475;516;410;490,2;464,4
904;00080315;Выключатель 2-кл. СП AtlasDesign 10А IP20 (сх. 5) 10AX механизм шампань SE ATN000551;76;205,22;340;330;340;285;323;306
905;00080304;Выключатель 2-кл. СП AtlasDesign 10А IP20 (сх. 5) 10AX механизм мокко SE ATN000651;9;205,22;327;315;327;273;310,65;294,3
906;00080290;Выключатель 2-кл. СП AtlasDesign 10А IP20 (сх. 5) 10AX механизм карбон SE ATN001051;179;273,12;502;486;502;421;476,9;451,8
907;00080274;Выключатель 2-кл. СП AtlasDesign 10А IP20 (сх. 5) 10AX механизм бел. SE ATN000151;80;132,93;215;208;215;180;204,25;193,5
908;00080262;Выключатель 2-кл. СП AtlasDesign 10А IP20 (сх. 5) 10AX механизм беж. SE ATN000251;117;157,33;230;223;215;200;204,25;193,5
909;00080248;Выключатель 2-кл. СП AtlasDesign 10А IP20 (сх. 5) 10AX механизм алюм. SE ATN000351;83;210,65;327;315;327;273;310,65;294,3
910;00080362;Выключатель 2-кл. ОП TORS 10A IP55 TS205 бел. ІЕК TS-V20-0-10-55-K41;31;454,29;656;635;656;550;623,2;590,4
911;00080361;Выключатель 2-кл. ОП TORS 10A IP55 TS105 графит ІЕК TS-V20-0-10-55-K53;1;454,28;549;549;549;549;521,55;494,1
912;00080546;Выключатель 2-кл. ОП GLORY 10A ВС20-2-1-ХБ с индикацией бел. ІЕК EVH21-K01-10;0; ;147;136;147;117;139,65;132,3
913;00079149;Выключатель автоматический модульный 1п C 32А ВА47-29 Pro NO-900-15 ЭРА Б0031750 RS;1;112,51;154; ;154;123;146,3;138,6
914;00078977;Выключатель автоматический модульный 1п C 32А 4.5кА ВА 47-29 Basic EKF mcb4729-1-32C RS;0; ;121; ;121;97;114,95;108,9
915;00079109;Выключатель автоматический модульный 1п C 32А 4.5кА City9 Set 230В SE C9F34132;97;273,12;391;378;391;328;371,45;351,9
916;00079148;Выключатель автоматический модульный 1п C 32 ЭРА Simple;0; ;130;125;130;105;123,5;117
917;00078976;Выключатель автоматический модульный 1п C 25А 4.5кА ВА 47-29 Basic EKF mcb4729-1-25C RS;0; ;110; ;110;88;104,5;99
918;00079108;Выключатель автоматический модульный 1п C 25А 4.5кА City9 Set 230В SE C9F34125;56;257,6;369;357;369;322;350,55;332,1
919;00079147;Выключатель автоматический модульный 1п C 16А ВА47-29 Pro NO-900-12 ЭРА Б0031747 RS;1;98,31;131; ;131;105;124,45;117,9
920;00078975;Выключатель автоматический модульный 1п C 16А 4.5кА ВА 47-29 Basic EKF mcb4729-1-16C RS;0; ;94; ;94;75;89,3;84,6
921;00079107;Выключатель автоматический модульный 1п C 16А 4.5кА City9 Set 230В SE C9F34116;60;224,58;325;314;325;280;308,75;292,5
922;00080711;Выключатель автоматический модульный 1п C 10А ВА47-29 Pro NO-900-10 ЭРА Б0031745;0; ; ; ; ; ; ; 
923;00079146;Выключатель автоматический модульный 1п C 10А ВА47-29 Pro NO-900-10 ЭРА Б0031745;10;108,65; ; ; ; ; ; 
924;00078974;Выключатель автоматический модульный 1п C 10А 4.5кА ВА 47-29 Basic EKF mcb4729-1-10C RS;4;88,37;118; ;118;95;112,1;106,2
925;00079106;Выключатель автоматический модульный 1п C 10А 4.5кА City9 Set 230В SE C9F34110;196;243,63;350;337;350;292;332,5;315
926;00079047;Выключатель автоматический дифференциальный АВДТ 32 1п+N 40А C 30мА тип A IEK ЭЛК;5;1213,23;1 745,00;1 745,00;1 745,00;1 745,00;1 657,75;1 570,50
927;00079140;Выключатель автоматический дифференциальный EASY 9 1п+N 32А C 30мА тип AC Schneider Electric ЭЛК;6;1951,74;3 666,00; ;3 666,00;3 299,00;3 482,70;3 299,40
928;00079139;Выключатель автоматический дифференциальный EASY 9 1п+N 25А C 30мА тип AC Schneider Electric ЭЛК;4;1611,26;2 964,00; ;2 964,00;2 667,00;2 815,80;2 667,60
929;00079105;Выключатель автоматический дифференциального тока 2п (1P+N) C 40А 30мА тип AC 4.5кА City9 Set 230В S;23;3324,73;4 752,00;4 591,00;4 752,00;3 979,00;4 514,40;4 276,80
930;00079104;Выключатель автоматический дифференциального тока 2п (1P+N) C 32А 30мА тип AC 4.5кА City9 Set 230В S;15;3146,27;4 497,00;3 765,00;4 497,00;3 765,00;4 272,15;4 047,30
931;00079103;Выключатель автоматический дифференциального тока 2п (1P+N) C 25А 30мА тип AC 4.5кА City9 Set 230В S;85;2599,26;3 716,00;3 111,00;3 716,00;3 111,00;3 530,20;3 344,40
932;00079102;Выключатель автоматический дифференциального тока 2п (1P+N) C 16А 30мА тип AC 4.5кА City9 Set 230В S;74;2506,16;3 582,00;2 999,00;3 582,00;2 999,00;3 402,90;3 223,80
933;00079138;Выключатель автоматический двухполюсный EASY 9 63А C 4,5кА Schneider Electric ЭЛК;0; ;1 332,00; ;1 332,00;1 199,00;1 265,40;1 198,80
934;00079137;Выключатель автоматический двухполюсный EASY 9 50А C 4,5кА Schneider Electric ЭЛК;0; ;963; ;963;867;914,85;866,7
935;00079136;Выключатель автоматический двухполюсный EASY 9 40А C 4,5кА Schneider Electric ЭЛК;4;441,68;843; ;843;759;800,85;758,7
936;00079135;Выключатель автоматический  однополюсный EASY 9 63А C 4,5кА Schneider Electric ЭЛК;0; ;497; ;497;448;472,15;447,3
937;00079134;Выключатель автоматический  однополюсный EASY 9 50А C 4,5кА Schneider Electric ЭЛК;0; ;471; ;471;424;447,45;423,9
938;00079133;Выключатель автоматический  однополюсный EASY 9 32А C 4,5кА Schneider Electric ЭЛК;1;355,39;319; ;319;287;303,05;287,1
939;00079132;Выключатель автоматический  однополюсный EASY 9 10А C 4,5кА Schneider Electric ЭЛК;2;155,09;289; ;289;261;274,55;260,1
940;00080343;Выключатель 3-кл. СП BRITE ВС10-3-0-БрКр 10А беж. IEK BR-V30-0-10-K10;19;204,7;347;335;347;273;329,65;312,3
941;00080541;Выключатель 1-кл. ОП GLORY 10A ВС20-1-1-ХД с индикацией дуб ІЕК EVH11-K24-10;7;94,33;189;174;189;150;179,55;170,1
942;00080540;Выключатель 1-кл. ОП GLORY 10A ВС20-1-1-ХБ с индикацией бел. ІЕК EVH11-K01-10;34;83,47;130;120;130;106;123,5;117
943;00080539;Выключатель 1-кл. ОП GLORY 10A ВС20-1-0-ХД дуб ІЕК EVH10-K24-10;2;89,91;177;163;177;141;168,15;159,3
944;00080538;Выключатель 1-кл. ОП GLORY 10A ВС20-1-0-ХБ бел. IEK EVH10-K01-10;114;57,46;97;90;97;77;92,15;87,3
945;00079025;Выкл. нагрузки 3P 63А ВН-63N EKF PROxima;0; ; ; ; ;499; ; 
946;00079024;Выкл. нагрузки 3P 40А ВН-63 EKF;0; ; ; ; ;304; ; 
947;00079046;Выкл. авт. диф. тока АВДТ32МL С25 30мА KARAT IEK;3;865,44;1 244,00;1 244,00;1 244,00;1 244,00;1 181,80;1 119,60
948;00079038;Выкл. авт. диф. тока АВДТ32МL С16 30мА KARAT IEK;0; ;214,75;214,75;214,75;214,75;204,01;193,28
949;00080543;Вывод кабеля BRITE MB10-БрЧ черн. IEK BR-VK10-0-K02;17;186,98;317;292;317;252;301,15;285,3
950;00081875;ВУ  25.0044;0; ; ; ; ;233 806,00; ; 
951;00081878;ВРЩ-2  25.0047;0; ; ; ; ;30 842,00; ; 
952;00081876;ВРЩ-1  25.0045;0; ; ; ; ;274 320,00; ; 
953;00079766;Внутренний угол КМВ 12х12 (4шт/компл) IEK IEK ЭЛК;7;42,87;78,11; ;78,11;70,3;74,2;70,3
954;00079765;Внутренний вертикальный угол КМВ 60x40 (4 шт./комп.) IEK ЭЛК;8;155,66;283,55; ;283,55;255,2;269,37;255,2
955;00079763;Внутренний вертикальный угол КМВ 16х16 (4 шт./комп.) IEK ЭЛК;6;44,21;80,25; ;80,25;72,23;76,24;72,23
956;00079762;Внешний угол КМН 12х12 (4шт/компл) IEK ЭЛК;8;42,86;78,11; ;78,11;70,3;74,2;70,3
957;00079761;Внешний вертикальный угол КМН 60х40 (4 шт./комп.) IEK ЭЛК;8;155,66;283,55; ;283,55;255,2;269,37;255,2
958;00079760;Внешний вертикальный угол КМН 40х25 (4 шт./комп.) IEK ЭЛК;2;80,35;146,59; ;146,59;131,93;139,26;131,93
959;00079759;Внешний вертикальный угол КМН 16х16 (4 шт./комп.) IEK ЭЛК;7;44,2;80,25; ;80,25;72,23;76,24;72,23
960;00079636;ВН-99 160/160А 3P EKF;0; ; ; ; ;4 356,00; ; 
961;00079651;Витая пара TERACOM Cat.5E U/UTP 4 п. solid внеш. LDPE черн. (305м);70;26,69;38;36;38;29;36,1;34,2
962;00079650;Витая пара TERACOM Cat.5E U/UTP 4 п. solid PVC сер. (305м);0; ;36;34;36;28;34,2;32,4
963;00079649;Витая пара TERACOM Cat.5E F/UTP 4 п. solid внеш. LDPE черн. (305м);0; ;50;47;50;38;47,5;45
964;00079504;Вилка эл. каб. 16А 2P+PE 16А 220В IP44 ССИ-013 IEK PSR01-016-3 RS;2;152,9;225; ;225;180;213,75;202,5
965;00083279;Вилка угловая с/з черная 16А 250В TDM;0; ; ; ; ; ; ; 
966;00079435;Вилка угловая с/з черн. 16А 250В EKF;1;40,72;72;68;72;55;68,4;64,8
967;00083278;Вилка угловая с/з белая 16А 250В TDM;57;32,74;52;51;52;45;49,4;46,8
968;00080544;Выключатель 2-кл. ОП GLORY 10A ВС20-2-0-ХД дуб ІЕК EVH20-K24-10;17;95,45;193;178;193;153;183,35;173,7
969;00080542;Выключатель 2-кл. ОП GLORY 10A ВС20-2-0-ХБ бел. IEK EVH20-K01-10;16;63,67;109;101;109;87;103,55;98,1
970;00081618;Выключатель 1кл с/у сталь механизм AtlasDesign Systeme Electric (1/5);0; ;539;523;539;453;512,05;485,1
971;00080442;Выключатель 1кл с/у крем механизм INSPIRIA Legrand (1/20/100);96;94,64;152;146;152;126;144,4;136,8
972;00080427;Выключатель 1кл с/у белый механизм INSPIRIA Legrand (1/20/100);72;94,64;152;146;152;126;144,4;136,8
973;00080412;Выключатель 1кл с/у антрацит механизм INSPIRIA Legrand (1/20/100);89;145,53;232;224;232;194;220,4;208,8
974;00080398;Выключатель 1кл с/ у алюминий механизм INSPIRIA Legrand (1/20/100);15;145,53;232;224;232;194;220,4;208,8
975;00080424;Выключатель 1кл проходной с/у белый механизм INSPIRIA Legrand (1/5/50);8;146,17;233;225;233;195;221,35;209,7
976;00080441;Выключатель 1кл прох с/у крем механизм INSPIRIA Legrand (1/5/50);17;146,17;233;225;233;195;221,35;209,7
977;00080411;Выключатель 1кл прох с/у антрацит механизм INSPIRIA Legrand (1/5/50);22;225,45;359;346;359;300;341,05;323,1
978;00080397;Выключатель 1кл прох с/у алюминий механизм INSPIRIA Legrand (1/5/50);14;225,45;359;346;359;300;341,05;323,1
979;00080608;Выключатель 1кл о/у белый IP20 Этюд Systeme Electric (1/25/200);152;123,62;187;181;187;157;177,65;168,3
980;00080604;Выключатель 1-клавишный Systeme Electric (Schneider Electric) Hit, белый VS16-133-B;139;97,78;148;143;148;124;140,6;133,2
981;00080383;Выключатель 1-кл. СП Etika 10А IP20 250В 10AX безвинт. зажимы механизм сл. кость Leg 672301 RS;8;140,38;196; ;196;168;186,2;176,4
982;00080374;Выключатель 1-кл. СП Etika 10А IP20 250В 10AX безвинт. зажимы механизм бел. Leg 672201 RS;59;140,38;196; ;196;168;186,2;176,4
983;00081460;Выключатель 1-кл. СП BRITE ВС10-1-1-БрЧ 10А с инд. черн. ІЕК BR-V10-1-10-K02;23;262,16;400;368;400;318;380;360
984;00080422;Выключатель 1-кл. СП BRITE ВС10-1-1-БРБ 10А с инд. бел. ІЕК BR-V10-1-10-K01;0; ;308;284;308;245;292,6;277,2
985;00080574;Выключатель 1-кл. СП BRITE ВС10-1-0-БрШ 10А шампань ІЕК BR-V10-0-10-K37;52;117,8;196;181;196;156;186,2;176,4
986;00080341;Выключатель 1-кл. СП BRITE ВС10-1-0-БрКр 10А беж. IEK BR-V10-0-10-K10;27;113,18;165;159;165;138;156,75;148,5
987;00080325;Выключатель 1-кл. СП BRITE ВС10-1-0-БрА 10А алюм. ІЕК BR-V10-0-10-K47;62;117,8;196;181;196;156;186,2;176,4
988;00080675;Выключатель 1-кл. СП BRITE ВС 10-1-0-БрЧ 10А черн. ІЕК BR-V10-0-10-K02;305;120,07;182;181;182;153;172,9;163,8
989;00080421;Выключатель 1-кл. СП BRITE BC10-1-0-БрБ 10А бел. IEK BR-V10-0-10-K01;164;88,94;150;138;150;119;142,5;135
990;00080314;Выключатель 1-кл. СП AtlasDesign 10А IP20 (сх. 1) 10AX механизм шампань SE ATN000511;152;194,27;294;284;294;247;279,3;264,6
991;00080303;Выключатель 1-кл. СП AtlasDesign 10А IP20 (сх. 1) 10AX механизм мокко SE ATN000611;26;159,44;254;245;254;212;241,3;228,6
992;00080289;Выключатель 1-кл. СП AtlasDesign 10А IP20 (сх. 1) 10AX механизм карбон SE ATN001011;276;256,71;388;376;388;326;368,6;349,2
993;00080273;Выключатель 1-кл. СП AtlasDesign 10А IP20 (сх. 1) 10AX механизм бел. SE ATN000111;342;120,61;183;177;183;153;173,85;164,7
994;00080261;Выключатель 1-кл. СП AtlasDesign 10А IP20 (сх. 1) 10AX механизм беж. SE ATN000211;285;120,61;183;177;183;153;173,85;164,7
995;00080247;Выключатель 1-кл. СП AtlasDesign 10А IP20 (сх. 1) 10AX механизм алюм. SE ATN000311;183;194,27;294;284;294;247;279,3;264,6
996;00079571;Гильза алюминиевая ГА 35-8 EKF;4;17,57;31;29;31;23;29,45;27,9
997;00079570;Гильза алюминиевая ГА 25-7 EKF;52;16,26;28;26;28;22;26,6;25,2
998;00079569;Гильза алюминиевая ГА 16-5,4 EKF;90;11,6;20;19;20;16;19;18
999;00079568;Гильза алюминиевая ГА 10-4,5 EKF;38;10,27;18;17;18;14;17,1;16,2
1000;00085971;Выключатель-разъединитель трехпозиционный ВРТ-63 2P 63А IEK;0; ; ; ; ; ; ; 
1001;00080577;Выключатель проходной 2-кл. СП BRITE ВС10-2-6-БрШ 10А шампань IEK BR-V22-0-10-K37;11;316,39;537;518;537;421;510,15;483,3
1002;00080346;Выключатель проходной 2-кл. СП BRITE ВС10-2-6-БрКр 10А беж. IEK BR-V22-0-10-K10;25;292,04;495;478;495;389;470,25;445,5
1003;00080329;Выключатель проходной 2-кл. СП BRITE ВС10-2-6-БрА 10А алюм. IEK BR-V22-0-10-K47;28;316,39;537;518;537;421;510,15;483,3
1004;00080555;Выключатель проходной 2-кл. СП BRITE BC10-2-6-БрЧ 10А черн. ІЕК BR-V22-0-10-K02;11;413,18;645;605;645;524;612,75;580,5
1005;00080454;Выключатель проходной 2-кл. СП BRITE BC10-2-6-БрБ 10А бел. ІЕК BR-V22-0-10-K01;0; ;497;458;497;395;472,15;447,3
1006;00080345;Выключатель проходной 1-кл. СП BRITE ВС10-1-6-БрКр 10А беж. IEK BR-V12-0-10-K10;9;210,6;273;263;273;214;259,35;245,7
1007;00080553;Выключатель проходной 1-кл. СП BRITE BC10-1-6-БрЧ 10А черн. ІЕК BR-V12-0-10-K02;27;210,23;356;328;356;283;338,2;320,4
1008;00080428;Выключатель проходной 1-кл. СП BRITE BC10-1-6-БрБ 10А бел. ІЕК BR-V12-0-10-K01;48;165,49;274;253;274;218;260,3;246,6
1009;00080328;Выключатель проходной 1-кл. СП BRITE BC10-1-6-БрА 10А алюм. ІЕК BR-V12-0-10-K47;22;219,2;356;328;356;283;338,2;320,4
1010;00080576;Выключатель проходной 1-кл. СП 4 BRITE BC10-1-6-БрШ 10А шампань IEK BR-V12-0-10-K37;9;191,08;356;328;356;283;338,2;320,4
1011;00083268;Выключатель поворотный проходной с ручкой (бантик) 10А сл. кость «Виви» TDM;54;190,2;314;304;314;271;298,3;282,6
1012;00080456;Выключатель поворотный проходной с ручкой (бантик) 10А коричневый «Виви» TDM;39;190,2;314;304;314;271;298,3;282,6
1013;00080455;Выключатель поворотный 2-кл. с ручкой (бантик) 10А коричневый «Виви» TDM;33;229,38;373;355;373;278;354,35;335,7
1014;00080344;Выключатель перекрестный 1-кл. СП BRITE 10А ВС10-1-3-БрКр беж. IEK BR-V13-0-10-K10;10;397,38;495;478;495;389;470,25;445,5
1015;00080327;Выключатель перекрестный 1-кл. СП BRITE 10А ВС10-1-3-БрА алюм. IEK BR-V13-0-10-K47;2;316,39;537;518;537;421;510,15;483,3
1016;00079466;Выключатель кнопочный ОП для эл. звонка Sche A10-4-011/А1-0.4-011/1 (А1 0.4-011) RS;3;49,27;60; ;60;54;57;54
1017;00080364;Выключатель кнопочный 1-кл. ОП TORS 10A IP55 TS210 бел. ІЕК TS-V14-0-10-55-K41;0; ;483;483;483;483;458,85;434,7
1018;00080363;Выключатель кнопочный 1-кл. ОП TORS 10A IP55 TS110 графит ІЕК TS-V14-0-10-55-K53;0; ;483;483;483;483;458,85;434,7
1019;00079144;Выключатель дифференциальный (УЗО) EASY 9 2п 63А 30мА тип AC Schneider Electric ЭЛК;1;2359,34;3 731,00; ;3 731,00;3 358,00;3 544,45;3 357,90
1020;00079143;Выключатель дифференциальный (УЗО) EASY 9 2п 40А 30мА тип AC Schneider Electric ЭЛК;6;1620,84;3 290,00; ;3 290,00;2 961,00;3 125,50;2 961,00
1021;00079130;Выключатель дифференциального тока (УЗО) 2п 63А 30мА тип AC City9 Set 230В SE C9R36263;0; ;4 325,00;3 622,00;4 325,00;3 622,00;4 108,75;3 892,50
1022;00079129;Выключатель дифференциального тока (УЗО) 2п 63А 100мА тип AC City9 Set 230В SE C9R56263;2;3957,09;5 656,00;4 999,00;5 656,00;4 735,00;5 373,20;5 090,40
1023;00080108;ДУО-4104-L 36Вт 6500К EKF Basic;29;653,93;1 098,00;1 045,00;1 098,00;849;1 043,10;988,2
1024;00080105;ДУО-4103-L 36Вт 4000К EKF Basic;37;653,93;1 098,00;1 045,00;1 098,00;849;1 043,10;988,2
1025;00080101;ДУО-4102-Z 36Вт 6500К EKF Basic;26;585,02;982;935;982;760;932,9;883,8
1026;00080098;ДУО-4101-Z 36Вт 4000К EKF Basic;33;585,02;982;935;982;760;932,9;883,8
1027;00080130;ДКУ-9003-Ш 100Вт 5000К IP65 EKF PROxima;7;2378,69;3 599,00;3 500,00;3 599,00;3 199,00;3 419,05;3 239,10
1028;00079027;Диф. автомат 20А 30мА х-ка C эл-мех тип AС 6кА АВДТ-63 EKF PROxima;0; ; ; ; ;1 931,00; ; 
1029;00079026;Диф. автомат 10А 30мА х-ка C эл-мех тип AС 6кА АВДТ-63 EKF PROxima;0; ; ; ; ;1 890,00; ; 
1030;00079145;ДИФ. АВТ. ВЫКЛ. EASY 9 1П+Н 40А 30мА C AC 4,5кА 230В =S= Schneider Electric ЭЛК;9;2062,04;2 312,00; ;2 312,00;2 081,00;2 196,40;2 080,80
1031;00079824;Держатель с защёлкой CF20  IEK ЭЛК;224;3,18;6,42; ;6,42;5,78;6,1;5,78
1032;00079822;Держатель для труб (клипса) d32MM пластик Ruvinil К01132;158;3,38;7;6;7;5;6,65;6,3
1033;00079821;Держатель для труб (клипса) d25MM пластик черн. Ruvinil К01125Ч;217;2,61;6;5;6;4;5,7;5,4
1034;00079820;Держатель для труб (клипса) d25MM пластик Ruvinil К01125;265;1,78;5;4;5;3;4,75;4,5
1035;00079819;Держатель для труб (клипса) d20MM пластик черн. Ruvinil К01120Ч;248;2,22;5;4;5;4;4,75;4,5
1036;00079818;Держатель для труб (клипса) d20MM пластик Ruvinil К01120;616;1,43;4;3;4;2;3,8;3,6
1037;00080954;Держатель для труб (клипса) d20 черный полистирол безгалогенный (HF) Промрукав;0; ; ; ; ; ; ; 
1038;00079817;Держатель для труб (клипса) d16MM пластик черн. Ruvinil К01116Ч;0; ;4;3;4;3;3,8;3,6
1039;00080002;ДВО 1109 круглый 24Вт 6500K IP20 LUMA EKF;137;170,02;507;484;507;267;481,65;456,3
1040;00079999;ДВО 1106 круглый 18Вт 6500K IP20 LUMA EKF;183;121,84;365;348;365;192;346,75;328,5
1041;00079995;ДВО 1103 круглый 10Вт 6500K IP20 LUMA EKF;198;123,65;371;354;371;195;352,45;333,9
1042;00079621;Датчик движения ДДП-05 2000Вт, 10-900с, 6м , 3+Лк, 120(сбоку)+360(сверху)гр IP20, TDM ЭЛК;2;497,27;872,05; ;872,05;784,85;828,45;784,85
1043;00079619;Датчик движения ДДВ-03 500Вт, 5-480с, 2-12м, 5+Лк, 140гр, 30-90Дб, IP20, TDM ЭЛК;6;471,55;839,95; ;839,95;755,95;797,95;755,96
1044;00079618;Датчик движения ДДВ-02 1200Вт, 5-480с, 9м, 10Лк, 140гр, IP20, TDM ЭЛК;2;383,36;738,3; ;738,3;664,47;701,39;664,47
1045;00079616;Датчик движения ДД 301 белый, 800Вт, 360 гр.,6М,IP20, IEK ЭЛК;1;648,31;1 249,76; ;1 249,76;1 124,78;1 187,27;1 124,78
1046;00079613;Датчик движения ДД 201 белый, 1200Вт, 360 гр.,6М,IP20, IEK ЭЛК;3;604,43;1 144,90; ;1 144,90;1 030,41;1 087,66;1 030,41
1047;00079612;Датчик движения ДД 010 черный, 1100Вт, угол обзора 180град., дальность 10м, IP44, IEK ЭЛК;0; ;973,7; ;973,7;876,33;925,02;876,33
1048;00079610;Датчик движения ДД 010 белый,1100Вт, угол обзора 180град., дальность 10м, IP44, IEK ЭЛК;0; ;973,7; ;973,7;876,33;925,02;876,33
1049;00079984;Гирлянда с/д нить LE LED XMAS 02, 3000K, 10м, 100 LED, зеленый кабель (30);74;232,87;459;449;459;349;436,05;413,1
1050;00079572;Гильза медная луженая GTY-10-5 (ГМЛ) EKF;8;16,13;28;26;28;21;26,6;25,2
1051;00079117;Выключатель автоматический модульный 2п C 63А 4.5кА City9 Set 230В SE C9F34263;3;1043,59;1 493,00;1 441,00;1 493,00;1 250,00;1 418,35;1 343,70
1052;00078985;Выключатель автоматический модульный 2п C 50А 4.5кА ВА 47-29 Basic EKF mcb4729-2-50C RS;0; ;280; ;280;224;266;252
1053;00079116;Выключатель автоматический модульный 2п C 50А 4.5кА City9 Set 230В SE C9F34250;10;954,36;1 366,00;1 319,00;1 366,00;1 143,00;1 297,70;1 229,40
1054;00079083;Выключатель автоматический модульный 2п C 40А 4.5кА ВА47-29 KARAT IEK MVA20-2-040-C;2;250,65;361;361;361;361;342,95;324,9
1055;00078984;Выключатель автоматический модульный 2п C 40А 4.5кА ВА 47-29 Basic EKF mcb4729-2-40C RS;0; ;239; ;239;191;227,05;215,1
1056;00079115;Выключатель автоматический модульный 2п C 40А 4.5кА City9 Set 230В SE C9F34240;52;697,99;1 033,00;998;1 033,00;864;981,35;929,7
1057;00079156;Выключатель автоматический модульный 2п C 32А ВА47-29 Pro NO-900-31 ЭРА Б0031763 RS;1;261,45;308; ;308;247;292,6;277,2
1058;00079081;Выключатель автоматический модульный 2п C 32А 4.5кА ВА47-29 KARAT IEK MVA20-2-032-C;0; ;351;351;351;351;333,45;315,9
1059;00078983;Выключатель автоматический модульный 2п C 32А 4.5кА ВА 47-29 Basic EKF mcb4729-2-32C RS;0; ;220; ;220;176;209;198
1060;00079114;Выключатель автоматический модульный 2п C 32А 4.5кА City9 Set 230В SE C9F34232;15;667,66;955;923;955;800;907,25;859,5
1061;00079155;Выключатель автоматический модульный 2п C 25А ВА47-29 Pro NO-900-30 ЭРА Б0031762 RS;2;152,77;308; ;308;246;292,6;277,2
